n,average_time
100,0.015
200,0.0365
300,0.0715
400,0.104
500,0.1075
600,0.1555
700,0.2005
800,0.199
900,0.2295
1000,0.3285
1100,0.274
1200,0.275
1300,0.374
1400,0.401
1500,0.4345
1600,0.3765
1700,0.405
1800,0.467
1900,0.5295
2000,0.5735
2100,0.584
2200,0.6065
2300,0.573
2400,0.694
2500,0.71
2600,0.711
2700,0.7575
2800,0.828
2900,0.7665
3000,0.7735
3100,0.8855
3200,0.8655
3300,0.884
3400,0.88
3500,0.9025
3600,0.9475
3700,0.9835
3800,1.009
3900,1.035
4000,1.0455
4100,1.084
4200,1.124
4300,1.1525
4400,1.207
4500,1.254
4600,1.23
4700,1.3425
4800,1.281
4900,1.351
5000,1.298
5100,1.3715
5200,1.445
5300,1.441
5400,1.542
5500,1.5885
5600,1.5525
5700,1.5785
5800,1.631
5900,1.69
6000,1.6745
6100,1.7315
6200,1.7835
6300,1.7985
6400,1.8015
6500,1.875
6600,1.9005
6700,1.985
6800,1.9325
6900,1.947
7000,2.0525
7100,2.048
7200,2.0065
7300,2.186
7400,2.2025
7500,2.3175
7600,2.2995
7700,2.3335
7800,2.3905
7900,2.43
8000,2.36
8100,2.884
8200,4.4565
